Date,GPUClock[MHz],MemoryClock[MHz],GPUTemperature[°C],GPUTemperature(HotSpot)[°C],GPULoad[%],MemoryControllerLoad[%],MemoryUsed(Dedicated)[MB],MemoryUsed(Dynamic)[MB],GPUChipPowerDraw[W],GPUVoltage[V],CPUTemperature[°C],SystemMemoryUsed[MB]
2023-05-17 22:17:17 ,42.0,1738.0,53.0,54.0,4,0,509,136,18.0,0.756,77.6,7549
2023-05-17 22:17:18 ,53.0,1728.0,53.0,54.0,5,0,502,132,18.0,0.756,76.5,7565
2023-05-17 22:17:19 ,29.0,1738.0,53.0,54.0,2,0,502,132,18.0,0.731,74.9,7561
2023-05-17 22:17:20 ,30.0,1738.0,53.0,54.0,2,0,506,132,18.0,0.731,73.9,7568
2023-05-17 22:17:21 ,78.0,1738.0,53.0,54.0,8,0,506,132,18.0,0.731,72.4,7567
2023-05-17 22:17:22 ,0.0,1738.0,53.0,54.0,0,0,506,132,16.0,0.0,71.6,7566
2023-05-17 22:17:23 ,0.0,1738.0,53.0,54.0,0,0,507,132,16.0,0.0,70.4,7565
2023-05-17 22:17:24 ,0.0,1738.0,53.0,54.0,0,0,507,132,16.0,0.0,68.9,7575
2023-05-17 22:17:25 ,21.0,1728.0,53.0,54.0,0,0,507,132,17.0,0.731,67.9,7574
2023-05-17 22:17:26 ,5.0,1738.0,53.0,54.0,0,0,507,132,17.0,0.731,67.0,7565
2023-05-17 22:17:27 ,12.0,1738.0,53.0,55.0,0,0,507,132,17.0,0.731,65.8,7575
2023-05-17 22:17:28 ,5.0,1740.0,53.0,55.0,0,0,507,132,17.0,0.756,65.4,7561
2023-05-17 22:17:29 ,8.0,1738.0,54.0,54.0,0,0,518,133,17.0,0.756,66.5,7578
2023-05-17 22:17:30 ,35.0,1738.0,53.0,55.0,1,0,539,135,18.0,0.731,67.5,7631
2023-05-17 22:17:31 ,0.0,1738.0,53.0,55.0,0,0,539,135,16.0,0.0,66.5,7639
2023-05-17 22:17:32 ,78.0,1736.0,54.0,54.0,5,0,539,135,18.0,0.756,65.6,7621
2023-05-17 22:17:33 ,37.0,1738.0,54.0,55.0,0,0,506,132,18.0,0.731,65.5,7575
2023-05-17 22:17:34 ,22.0,1728.0,53.0,55.0,0,0,497,131,18.0,0.731,65.1,7558
2023-05-17 22:17:35 ,0.0,1738.0,53.0,55.0,0,0,497,131,16.0,0.0,64.0,7556
2023-05-17 22:17:36 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,63.0,7572
2023-05-17 22:17:37 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,62.1,7569
2023-05-17 22:17:38 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,61.3,7567
2023-05-17 22:17:39 ,6.0,1738.0,54.0,55.0,0,0,497,131,17.0,0.731,60.5,7568
2023-05-17 22:17:40 ,5.0,1738.0,54.0,55.0,0,0,497,131,17.0,0.0,59.9,7547
2023-05-17 22:17:41 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,59.3,7545
2023-05-17 22:17:42 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,58.6,7542
2023-05-17 22:17:43 ,0.0,1738.0,53.0,55.0,0,0,497,131,16.0,0.0,58.3,7540
2023-05-17 22:17:44 ,0.0,1738.0,54.0,55.0,0,0,497,131,16.0,0.0,57.8,7539
